cn	CHR	START	END	i	cn_ctc	cn_cdp	cn_wbc
4	chr1	1	3577577	1	4.8571429	7.916667	2.22222222222222
4	chr1	3577578	4138503	2	4.8571429	7.916667	2.22222222222222
4	chr1	4138504	4697866	3	4.8571429	7.916667	2.22222222222222
4	chr1	4697867	5250548	4	4.8571429	7.916667	2.22222222222222
4	chr1	5250549	5846255	5	4.8571429	7.916667	2.22222222222222
4	chr1	5846256	6412017	6	4.8571429	7.916667	2.22222222222222
4	chr1	6412018	6976614	7	4.8571429	7.916667	2.22222222222222
4	chr1	6976615	7557977	8	4.8571429	7.916667	2.22222222222222
4	chr1	7557978	8145474	9	4.8571429	7.916667	2.22222222222222
4	chr1	8145475	8747244	10	4.8571429	7.916667	2.22222222222222
4	chr1	8747245	9325160	11	4.8571429	7.916667	2.22222222222222
4	chr1	9325161	9865564	12	4.8571429	7.916667	2.22222222222222
4	chr1	9865565	10394847	13	4.8571429	7.916667	2.22222222222222
4	chr1	10394848	10971424	14	4.8571429	7.916667	2.22222222222222
4	chr1	10971425	11517115	15	4.8571429	7.916667	2.22222222222222
4	chr1	11517116	12113338	16	4.8571429	7.916667	2.16666666666667
4	chr1	12113339	12673683	17	4.8571429	7.916667	2.05555555555556
4	chr1	12673684	13193979	18	4.8571429	7.916667	2.05555555555556
4	chr1	13193980	13734488	19	4.8571429	7.916667	2.05555555555556
4	chr1	13734489	14296301	20	4.8571429	7.916667	2.05555555555556
4	chr1	14296302	14833146	21	4.8571429	7.916667	2.05555555555556
4	chr1	14833147	15405569	22	4.8571429	7.916667	2.05555555555556
4	chr1	15405570	15965720	23	4.8571429	7.916667	2.05555555555556
4	chr1	15965721	16512432	24	4.8571429	7.916667	2.05555555555556
4	chr1	16512433	17097660	25	4.8571429	7.916667	2.05555555555556
4	chr1	17097661	17665677	26	4.8571429	7.916667	2.05555555555556
4	chr1	17665678	18243419	27	4.8571429	7.916667	2.05555555555556
4	chr1	18243420	18806479	28	4.8571429	7.916667	2.05555555555556
4	chr1	18806480	19370524	29	5.1428571	7.916667	2.05555555555556
4	chr1	19370525	19946219	30	5.1428571	7.916667	2.05555555555556
4	chr1	19946220	20521985	31	5.1428571	7.916667	2.05555555555556
4	chr1	20521986	21071451	32	5.1428571	7.916667	2.05555555555556
4	chr1	21071452	21613599	33	5.1428571	7.916667	1.94444444444444
4	chr1	21613600	22168885	34	5.1428571	7.916667	1.94444444444444
